Ulasan
"Barang sesuai, Terima kasih"
Kualitas baik sesuai deskrisi cocok untuk yg suka main game sambil rebahan
"Laptopnya udah sampai dgn selamat. Baru pertama kali order laptop online berasa dagdigdug, tapi seller komunikatif bgt, ramah pula, paketannya dibungkus aman. Thanks ya k... "
setelah drama per-gojekan akhirnya sampe finally semoga awettt
pengiriman aman penyok dikit gak ngaruh
"keren banget, dan kebetulan dapat potongan 900rban."
"Respon penjualnya bagus, cepat sampainya dan kualitas barangnya keren abis. gahar"
"barangsnya super bagus dan terpecaya , admin tokped nya juga ramah sangayttttt"
Sesuai deskripsi
"mulus dan ok, admin cepat tanggap. karena 12.12 agak lama nunggu barangnya."
"Barang mendarat dengan aman dan cepat, semoga barangnya awet 🤲🤲"
oke barangnya
Bagus banget barang mewah seller responsif
Semoga awet terus.
mantap
"Gak tau orderan laptop MSI sudah yang ke berapa, tapi yg jelas sampai order kali ini tetap mantul. recommended. Buat para jasa kurir yang sering ngaku2 memberikan layanan... "
bagus
mantap barang dan respon orangnya
Semoga lancar terus
"Barang bagus dan penguriman paket sangat aman, Belum di operasikan krn malam hari saya terima jadi mungkin besok pagi aktivasinya, terimakasih tokopedia"
